source_id,source,url,use
S1,"Stanford Encyclopedia of Philosophy, ""The Problem of Evil""",https://plato.stanford.edu/entries/evil/,Problem of evil; logical/evidential distinction; defenses and theodicies.
S2,"Stanford Encyclopedia of Philosophy, ""Theodicies""",https://plato.stanford.edu/entries/theodicies/,Contemporary account of theodicy and severe suffering.
S3,"Oxford Handbook of the Study of Religion, ""Salvation""",https://academic.oup.com/edited-volume/27966/chapter-abstract/211590554,Comparative limits and usefulness of salvation as a category.
S4,"Stanford Encyclopedia of Philosophy, ""Afterlife""",https://plato.stanford.edu/entries/afterlife/,"Philosophical possibilities for survival, resurrection, and rebirth."
S5,"Stanford Encyclopedia of Philosophy, ""Heaven and Hell in Christian Thought""",https://plato.stanford.edu/entries/heaven-hell/,"Diversity of Christian eschatological models, including universalism."
S6,"Oxford Handbook of Theology, Sexuality, and Gender",https://academic.oup.com/edited-volume/34452,"Diversity and methodological complexity of sexuality, gender, marriage, and family theology."
S7,"Oxford Handbook of Psychology and Spirituality, ""Questions Left Unaddressed by Religious Familism""",https://academic.oup.com/edited-volume/55818/chapter-abstract/436584599,Plurality of contemporary family forms and religion/spirituality.
S8,"Stanford Encyclopedia of Philosophy, ""Pacifism""",https://plato.stanford.edu/entries/pacifism/,Spectrum from nonviolence to anti-war pacifism and just-war contrast.
S9,"Oxford Handbook of the Book of Common Prayer, ""Ordination Rites, Past and Present""",https://academic.oup.com/edited-volume/62371/chapter-abstract/554772105,Ordination rites reflect varying theologies of ministry and laity.
S10,"Oxford Scholarship, Holiness and Ministry: A Biblical Theology of Ordination",https://academic.oup.com/book/10994,Ordination as historically diverse construction of religious office.
S11,"Oxford Handbook of the Study of Religion, ""Time""",https://academic.oup.com/edited-volume/27966/chapter-abstract/211581700,Religious ritual produces recurring patterns of sacred time.
S12,"Oxford Bibliographies in Jewish Studies, ""Sabbath""",https://academic.oup.com/reference/62376/reference-article-abstract/554971949,Seven-day sacred rhythm and influence on later religious temporal patterns.
S13,"Oxford Handbook of Early Christian Ritual, ""Ritualizing Time""",https://academic.oup.com/edited-volume/28032/chapter-abstract/211916688,"Festival calendars build memory, identity, and communal cohesion."
S14,"World Council of Churches, Guidelines for Dialogue and Relations with People of Other Religions",https://www.oikoumene.org/resources/documents/guidelines-for-dialogue-and-relations-with-people-of-other-religions,"Interreligious dialogue, cooperation, and respect across conviction differences."
S15,Qur'anic Arabic Corpus / Qur'an 2:256,https://corpus.quran.com/translation.jsp?chapter=2&verse=256,Primary witness to the no-compulsion principle in Qur'anic tradition.
S16,"Oxford Handbook of Religious Conversion, ""Conversion and the Historic Spread of Religions""",https://academic.oup.com/edited-volume/34732/chapter-abstract/296512497,"Volition and conversion in Buddhism, Christianity, and Islam."
S17,Oxford Handbook of the Abrahamic Religions,https://academic.oup.com/edited-volume/34340,"Comparative study of Jewish, Christian, and Islamic beliefs, rituals, and interaction."
S18,"Oxford Academic, ""Islam and the Fate of Others""",https://academic.oup.com/book/5856,Diversity of Muslim views regarding salvation of non-Muslims and hell.
S19,"Oxford Academic, ""The calendar and festivals"" in Judaism: A Very Short Introduction",https://academic.oup.com/book/62733/chapter-abstract/562692919,"Calendar integrates memory, worship, generosity, fasting, and natural cycles."
S20,"Oxford Academic, ""Fasting in Islam""",https://academic.oup.com/book/7401/chapter-abstract/152246227,Ramadan fasting as recurring sacred practice linked with charity and family/community.
