domain,status,operational_baseline
Suffering and evil,Established,"Do not presume suffering is deserved, divinely inflicted, karmically deserved, or evidence of weak faith; protect lament, care, treatment, and justice."
Theodicy,Open,No single theodicy is adopted. Proposed explanations must face horrendous suffering and may not be used to silence victims.
Human spiritual end,Provisional,"Use healing, liberation, reconciliation, awakening, wholeness, and right relationship as comparative/working terms without declaring them metaphysically identical."
Exclusive salvation,Open,No current teaching that only Companions can be saved/liberated; no leader may claim knowledge of another person's ultimate destiny.
Afterlife,Open,"No settled teaching yet on resurrection, heaven/hell, rebirth, annihilation, or postmortem consciousness."
Funerals,Established,"Speak truthfully: honor the dead, support mourners, distinguish hope from certainty, and never exploit grief."
Intimate ethics,Established,"Require capacity, meaningful consent, non-exploitation, honesty, safeguarding, and faithful responsibility to freely undertaken commitments and dependents."
Marriage theology,Open,"Marriage/covenant blessing remains reserved pending research on sacramentality, gender/sex, divorce, remarriage, same-sex unions, celibacy, and family plurality."
Violence,Well-supported,"Strong presumption toward nonviolence, peacemaking, de-escalation, and protection of vulnerable persons; absolute pacifism remains open."
Religious violence,Established,"No House, minister, founder, elder, or council can authorize vigilantism, holy war, coercive enforcement, or revelatory exemption from law."
Rites,Established,"Rites may express commitment, memory, transition, healing, and community; metaphysical efficacy must be stated only at the confidence warranted."
Commissioning,Established,Commissioning authorizes defined functions and limits; it creates no sacred caste or immunity.
Ordination,Reserved,Do not adopt until theology requires a claim beyond functional commissioning.
Sacred time,Provisional,Develop a recurring weekly/seasonal rhythm experimentally before constitutionalizing a comprehensive calendar.
Fasting,Provisional,"Optional/experimental only, with broad health and conscience exemptions until a theology and safety standard are adopted."
Other religions,Established,Represent source traditions accurately; dialogue does not require erasing difference; no compelled conversion or social isolation.
Dual belonging,Open,Permitted for exploration/participation; formal doctrinal coherence varies by traditions and remains under study.
