document_id,title,family,location,lifecycle,authority,canonicality,adoption_status,production_state,review_priority,blocking_issue,next_action,coverage
PR-CTRL-001,Master Document Register,production-control,00_START_HERE/production_control/PR-CTRL-001-MASTER-DOCUMENT-REGISTER.csv,current-working,corpus-control,current-control,not applicable,CLASSIFIED,P0,First-pass register; requires iterative expansion as reconciliation proceeds,Maintain as controlling corpus index,individual
ORG-CONST-001,Organization Constants and Institutional Identity Register,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/ORG-CONST-001-Organization-Constants-and-Institutional-Identity-Register.docx,current-canonical,institution-control,canonical draft,not adopted,REVIEW_READY,P0,"Legal/public name, founder/PSL and adoption-date constants unresolved",Reconcile with PR-TERM-001 and verified real-world facts,individual
REC-ID-001,Institutional Identifier and Record Numbering Standard,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/REC-ID-001-Institutional-Identifier-and-Record-Numbering-Standard.docx,current-canonical,institution-control,canonical draft,not adopted,REVIEW_READY,P0,Must align with final document taxonomy,Review before assigning new production IDs,individual
REPO-001,Canonical Institutional Repository Standard,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/REPO-001-Canonical-Institutional-Repository-Standard.docx,current-canonical,institution-control,canonical draft,not adopted,REVIEW_READY,P0,Must coexist with corpus-wide 00_START_HERE controls,Cross-reference PR-CTRL-001 and PR-XWALK-001,individual
ADOPT-001,Founding Adoption and Activation Register,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/ADOPT-001-Founding-Adoption-and-Activation-Register.docx,current-canonical,adoption-control,canonical draft,not adopted,REVIEW_READY,P0,No actual adoption actions yet established in repo evidence,Use only for real actions; never infer adoption from placement,individual
ACT-RUN-001,Institutional Activation Runbook,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/ACT-RUN-001-Institutional-Activation-Runbook.docx,current-canonical,activation-control,canonical draft,not adopted,REVIEW_READY,P1,Dependent on final authority map and verified constants,Reconcile after constitutional integration,individual
ACT-WB-001,Activation Control Workbook,institution-control,04_INSTITUTION_AND_GOVERNANCE/institution/00-control/Activation-Control-Workbook.xlsx,current-canonical,activation-control,canonical working tool,not adopted,CONTENT_COMPLETE,P1,Must reflect only actual approvals/adoptions,Reconcile with ADOPT-001,individual
PATH-REG,Canonical Path Registry,repository-control,00_START_HERE/CANONICAL_PATH_REGISTRY.csv,current-working,navigation,current-control,not applicable,CONTENT_COMPLETE,P0,None identified,Retain as routing authority,individual
AUTH-LIFE-REG,Authority Lifecycle Registry,repository-control,00_START_HERE/AUTHORITY_LIFECYCLE_REGISTRY.csv,current-working,navigation,current-control,not applicable,CONTENT_COMPLETE,P0,None identified,Use as lifecycle input to PR-CTRL-001,individual
CURRENT-STATE,Repository Current State,repository-control,00_START_HERE/CURRENT_STATE.md,current-working,navigation,current-control,not applicable,CONTENT_COMPLETE,P0,Status dated 2026-09-21,Update when major finalization wave closes,individual
REL-V1.0,Founding Religious Synthesis Release v1.0,release,03_RELEASES_AND_BASELINES/release_v1_0,released-snapshot,founding-synthesis,current baseline for released religious synthesis,"release snapshot, not institutional adoption",PUBLISHED,P0,Must be reconciled with later constitutional/institutional corpus without rewriting snapshot,Treat as immutable source baseline,individual
REL-V1.2,Organizational Execution Release v1.2,release,03_RELEASES_AND_BASELINES/release_v1_2,released-snapshot,execution-reference,current execution release,reference only until actual actions occur,PUBLISHED,P1,"Contains filing/board/EIN/banking frameworks, not evidence of execution",Use for formation crosswalk,individual
REL-V1.4,Founding Gathering Circle Pilot Operations Release v1.4,release,03_RELEASES_AND_BASELINES/release_v1_4,released-snapshot,pilot-reference,current pilot-operations release,pre-incorporation reference,PUBLISHED,P4,Does not create legal or institutional status,Review after governing corpus stabilizes,individual
REL-V1.5,Pilot Curriculum Release Record v1.5,release,03_RELEASES_AND_BASELINES/release_v1_5,release-record,pilot-curriculum-reference,current pilot-curriculum release,reference only,PUBLISHED,P4,Repository does not contain complete binary curriculum package,Reconcile curriculum lineage later,individual
HTERP-V1.4,Historical/Transcultural Encounter Research Program v1.4,research,02_RESEARCH_AND_EVIDENCE/HTERP/HTERP_v1.4,current-working,research,current research baseline,not adopted doctrine,CONTENT_COMPLETE,P3,Research/proto-canon material must not be auto-promoted to doctrine,Crosswalk only when reviewing theology/doctrine,individual
INT-V0.4,Institutional Integrity v0.4,integrity,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4,current-working,pre-filing-integrity,current integrity working baseline,not legally operative,REVIEW_READY,P1,Requires board/counsel/CPA review as applicable,Crosswalk to SAFE/finance/governance controls,individual
FOUND-001,Founding Charter,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-002,"Mission, Vision, Goals & Foundational Principles",pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-003,Constitutional Framework,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-004,Community Rule,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-005,Membership & Formation System,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-006,Mobile Fellowship Rule,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-007,Local Community Charter,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
FOUND-008,Governance Constitution,pre-integration-foundational,Project Library / predecessor FOUND-series; no standalone current canonical GitHub copy located,pre-integration,design-baseline,predecessor / integration source,not adopted,RECONCILING,P0,Uses earlier identity/institutional assumptions and may overlap later Way/Assembly instruments,"Map into REL-CON-001, ECC-CON-001, BYL-001 and subordinate codes",individual
