ID,Domain,Status,Statement
TB-001,Ultimate reality,Established,Religions make materially different claims about God/ultimate reality; the Way does not erase those differences.
TB-002,God-language,Provisional,Companions and Houses may pray using ordinary God-language and other honest devotional language; no comprehensive metaphysics of God is yet fixed.
TB-003,Revelation method,Established,"A revelation claim is testimony requiring evaluation; intensity, sincerity, office, charisma, prediction, or altered state does not itself establish divine origin."
TB-004,Revelation authority,Established,"No claimed revelation overrides consent, safeguarding, law, financial controls, governing documents, or another adult's conscience."
TB-005,Jesus - history,Established,Jesus was a first-century Jewish figure whose movement continued after his crucifixion under Pontius Pilate.
TB-006,Jesus - metaphysics,Open Question,"Incarnation, ontological divine sonship, Trinity, atonement mechanisms, miracle causation, and resurrection metaphysics are not presently Way doctrine."
TB-007,Muhammad - history,Established,Muhammad was a seventh-century Arabian religious and political leader; the Qur'an is the earliest principal textual witness to his proclamation.
TB-008,Muhammad - revelation/finality,Open Question,Divine authorship of the Qur'an and finality of prophethood are studied seriously but are not present Assembly doctrine.
TB-009,Buddha - history/teaching,Established,"A historical Gautama stands behind Buddhism; early teaching strongly centers suffering, causation, cessation, disciplined practice, impermanence, and non-self."
TB-010,Buddha - metaphysics,Open Question,"Rebirth, karma across lives, nirvana's metaphysical nature, and final implications of non-self remain open."
TB-011,Scripture/canon,Established,The Assembly maintains a Library of Witnesses rather than a closed canon.
TB-012,Human dignity,Established,"Human dignity and conscience do not depend on membership, office, purity status, wealth, sex, belief certainty, or loyalty to the institution."
TB-013,Human fallibility,Established,"Founders, ministers, councils, scholars, and Companions remain vulnerable to bias, self-deception, harmful desire, social influence, and error."
TB-014,Human transformation,Well-Supported,"Attention, honesty, compassion, restraint, study, service, relationship, accountability, and repair are defensible formation goals across multiple anthropological models."
TB-015,Soul / afterlife,Open Question,"Immortal soul, bodily resurrection, rebirth, postmortem consciousness, annihilation, eternal separation, and universal reconciliation remain unresolved."
TB-016,Suffering,Established,"Do not presume suffering proves punishment, desert, weak faith, or inferiority."
TB-017,Theodicy,Open Question,No single theodicy adopted.
TB-018,Spiritual end,Provisional,Healing/liberation/reconciliation/awakening/wholeness/right relationship as working comparative terms.
TB-019,Exclusive salvation,Open Question,No claim that only Companions reach the ultimate good.
TB-020,Intimate ethics,Established,"Capacity, consent, non-exploitation, honesty, safeguarding, responsibility."
TB-021,Marriage theology,Open Question,No final doctrine yet.
TB-022,Violence,Well-Supported,Strong presumption toward nonviolence/peacemaking/protection; absolute pacifism open.
TB-023,Religious violence,Established,No vigilantism/holy war/coercive enforcement/revelatory exemption from law.
TB-024,Commissioning,Established,"Defined, reviewable functional authorization; no sacred caste."
TB-025,Ordination,Reserved,Not adopted unless future theology requires more than commissioning.
TB-026,Sacred time,Provisional,Rhythm before comprehensive calendar.
TB-027,Interreligious posture,Established,Disciplined hospitality; accurate representation; no compelled conversion.
TB-028,Dual belonging,Open Question,Case-specific honesty; no blanket rule yet.
