domain,artifact_or_function,current_home,lifecycle,authority_or_role,what_belongs_here,what_does_not_belong_here
repository-control,Repository navigation and curation,00_START_HERE,current-working,repository-navigation,"Lifecycle maps; crosswalks; curation status; repository-level registries","Religious doctrine; executed corporate records"
religious-baseline,Founding religious synthesis,03_RELEASES_AND_BASELINES/release_v1_0,released-snapshot,founding-synthesis,"Immutable v1.0 religious/founding release snapshot","Edits intended to rewrite historical v1.0 release contents"
foundational-authoring-current,New foundational religious/theological source work,01_FOUNDATIONAL_SOURCE/current,current-source,source-authoring,"New foundational drafts and future release source work","Historical legacy material; adopted institutional records; HTERP research"
foundational-authoring-legacy,Legacy religious/theological source provenance,01_FOUNDATIONAL_SOURCE/source,mixed-source,provenance-source,"Historical/editable source artifacts evaluated by individual file version/status; established EPC/FWSD series may remain cohesive here pending deliberate migration","Unrelated new lifecycle generations that would further mix the tree"
research,Current HTERP research baseline,02_RESEARCH_AND_EVIDENCE/HTERP/HTERP_v1.4,current-working,research,"Current HTERP protocols; analyses; constructive research; project status","Binding doctrine or canon merely by placement"
organizational-release,Current execution reference release,03_RELEASES_AND_BASELINES/release_v1_2,released-snapshot,execution-reference,"Immutable filing/board/EIN/banking/exemption execution release","Executed institutional records unless real-world execution is evidenced"
pilot-operations-release,Current Founding Gathering Circle pilot operations/evidence framework,03_RELEASES_AND_BASELINES/release_v1_4,released-snapshot,pilot-reference,"Immutable 90-day adult pre-incorporation pilot operating controls and evidence/review framework","Claim that pilot materials create corporation/House/statutory membership/tax-exempt status"
pilot-curriculum-release,Current Founding Gathering Circle print-and-run curriculum release record,03_RELEASES_AND_BASELINES/release_v1_5,release-record,pilot-curriculum-reference,"v1.5 release record and tracked editable-source lineage for the 13-week curriculum","Claim that this Git path contains the complete binary curriculum package; claim that curriculum materials create legal/institutional status"
institution-control,Institution repository controls,04_INSTITUTION_AND_GOVERNANCE/institution/00-control,current-canonical,canonical-institution-control,"Repository controls; organization constants; activation/adoption registers","Historical release snapshots"
formation-charter,Filed/accepted charter records,04_INSTITUTION_AND_GOVERNANCE/institution/01-formation/charter,current-canonical,formation-record,"Actual filed/accepted charter and controlled derivatives","Draft or merely filing-ready charter presented as filed"
formation-state-filings,State filing evidence,04_INSTITUTION_AND_GOVERNANCE/institution/01-formation/state-filings,current-canonical,formation-record,"Actual state submissions; receipts; acceptance evidence","Unfiled templates"
formation-ein,EIN records,04_INSTITUTION_AND_GOVERNANCE/institution/01-formation/ein,current-canonical,formation-record,"Actual EIN application/issuance/confirmation records","Planning packets presented as issuance"
formation-actions,Organizational actions,04_INSTITUTION_AND_GOVERNANCE/institution/01-formation/organizational-actions,current-canonical,formation-action,"Controlled organizational-action packets and actual executed actions","Hypothetical future actions represented as completed"
constitutional,Charter/bylaws/constitutional instruments,04_INSTITUTION_AND_GOVERNANCE/institution/02-constitutional,current-canonical,constitutional-home,"Current/adopted constitutional instruments and controlled drafts according to repository controls","Historical release snapshots used as if automatically adopted"
doctrine-religious-life,Institutional doctrinal/religious-life instruments,04_INSTITUTION_AND_GOVERNANCE/institution/03-doctrine-and-religious-life,current-canonical,institutional-religious-life,"Institutionally controlled doctrine/religious-life instruments with explicit status","HTERP research outputs automatically promoted to doctrine"
governance-board,Board governance records,04_INSTITUTION_AND_GOVERNANCE/institution/04-governance/board,current-canonical,governance-record,"Real board minutes; resolutions; controlled governance artifacts","Future-board templates represented as adopted"
governance-decisions,Institution decisions,04_INSTITUTION_AND_GOVERNANCE/institution/04-governance/decisions,current-canonical,decision-record,"Actual controlled decisions and decision metadata","Historical design decisions confused with operative acts"
operations,Current operational instruments,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations,current-canonical,operations,"Controlled current operating procedures and adopted practices","Immutable historical releases"
templates,Institution templates,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates,current-canonical,template-library,"Reusable controlled templates","Signed/executed records"
records,Institution records,04_INSTITUTION_AND_GOVERNANCE/institution/07-records,current-canonical,records,"Actual operational records under appropriate access controls","Model/example data represented as historical fact"
evidence,Institution evidence,04_INSTITUTION_AND_GOVERNANCE/institution/08-evidence,current-canonical,evidence,"Evidence supporting adopted/operational claims and actions","Unsupported assertions"
tax-form1023,Form 1023 working/submitted materials,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/form-1023,current-canonical,tax-regulatory,"Controlled working/submitted Form 1023 materials and exhibits","Drafts represented as submitted without evidence"
tax-schedule-a,Schedule A working/submitted materials,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/schedule-a,current-canonical,tax-regulatory,"Controlled Schedule A working/submitted materials","Working copy represented as IRS-accepted"
tax-correspondence,IRS correspondence,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/irs-correspondence,current-canonical,tax-regulatory,"Actual IRS correspondence","Draft correspondence represented as sent"
state-compliance,State compliance records,04_INSTITUTION_AND_GOVERNANCE/institution/09-tax-and-regulatory/state-compliance,current-canonical,tax-regulatory,"Actual compliance records and controlled working materials","Historical templates confused with filings"
institution-archive,Institution superseded/history,04_INSTITUTION_AND_GOVERNANCE/institution/99-archive,historical,canonical-archive,"Superseded institutional artifacts retained under repository controls","Current working artifact unless formally superseded"
integrity,Current integrity working baseline,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4,current-working,pre-filing-integrity,"Current integrity/founding-readiness working materials","Claim that existence equals legal adoption"
integrity-release,Current integrity release snapshot,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4_release,released-snapshot,integrity-reference,"Immutable v0.4 packaged outputs","Edits that rewrite the historical release"
digital-platform,Community application source,06_DIGITAL_PLATFORM/community-platform,current-source,software,"Application source; migrations; config; product implementation","Doctrinal/institutional authority inferred from software behavior"
historical,Historical and preintegration packages,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES,historical,provenance,"Older exports; predecessor packages; historical mirrors","Current authority by placement"
archive-packages,Historical packaged ZIP snapshots,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages,historical,provenance,"Byte-preserved ZIP releases/source packs/work packages grouped by domain; migration registry","Authority inferred from ZIP placement; treating packaged snapshot as current merely because it is preserved"
chat-response-archive,Substantive assistant response archive,90_WORKING_NOTES_AND_SCRIPTS/Chat_Responses,working-archive,none,"Dated/indexed substantive Way-project assistant responses and links to authoritative deliverables","Authoritative artifact duplication where a short archive record and link will suffice"
working,Working notes scripts and legacy material,90_WORKING_NOTES_AND_SCRIPTS,working-note,none,"Notes; scripts; legacy response archive; exploratory material","Adopted doctrine or operative governance unless promoted through controls"
unclassified,Future unclassified holding area,99_UNCLASSIFIED,holding-area,none,"Future material whose provenance/home cannot yet be determined safely","Permanent archival storage after classification; authority inferred before classification"
