domain,jurisdiction,controlling_instrument,primary_actor,secondary_or_concurrence,subordinate_instruments,authority_boundary_or_prohibition,reconciliation_status,open_issue,source_basis
Applicable civil law,civil/external,Applicable federal/state/local law within its valid domain,Legally competent civil authorities / Corporation as applicable,None created by ecclesiastical instrument,All internal civil instruments,No internal instrument may repeal or evade applicable civil law,CONTROLLED,This map does not determine disputed legal questions,REL-CON-001 §1.2; FIN-001 Art. I
Corporate legal existence and identity,civil,Filed Charter / Articles of Incorporation when actually filed,Corporation through lawful formation actors,Board after formation as law/charter permit,Civil Bylaws; corporate policies,Religious documents cannot create corporate existence by declaration,UNRESOLVED,No filed charter/current legal name is evidenced in the repository; CH-001–004 remain framework/reference material,PR-CTRL-001; org_constants.yaml
Corporate Board and officers,civil,"Filed Charter + Civil Bylaws / BYL-001, subject to applicable law",Civil Board / officers within delegated powers,Ecclesiastical concurrence only where a valid governing instrument expressly requires it,Board policies; resolutions; delegated procedures,Ecclesiastical office or membership does not itself confer civil corporate authority,RECONCILING,BYL-001 is still a draft and entity constants are unresolved,REL-CON-001 §31.2; MIN-001 §2.11
Civil fiduciary authority over corporate money/property,civil,Charter + Civil Bylaws + superior law; FIN-001 as integrated constitutional framework,Civil Board,Ecclesiastical Council/CMA concurrence for specifically designated concurrent matters,CH-039–044; FIN-POL-001; finance procedures,Religious approval cannot compel unlawful/imprudent expenditure; spiritual office does not create treasury authority,RECONCILING,"Need final crosswalk between BYL-001, FIN-001, JUR-001, CH-039–044","FIN-001 Preamble, Arts. I–IV"
"Religious identity, conscience, foundational ecclesiastical rights",ecclesiastical,REL-CON-001 — Foundational Religious Constitution,Constitutional order rather than any single officeholder,CCG review and amendment bodies only as validly constituted,ECC-CON-001; doctrine; charters; codes; policies,"No founder, PSL, EC, Board, donor, faction, custom, or majority may override REL-CON-001 merely by status",RECONCILING,REL-CON-001 must absorb/reconcile release_v1_0 and FOUND-001–003 before promotion,"REL-CON-001 Arts. I–II, XXXII, XXXV"
"Concrete ecclesiastical institutions, offices, councils and jurisdiction",ecclesiastical,REL-CON-001 > ECC-CON-001 / CH-006,Ecclesiastical institutions created by ECC-CON-001,CCG/CMA/EAC/PSL roles only as specifically allocated,Institutional charters and subject codes,ECC-CON-001 may implement but not contradict REL-CON-001,RECONCILING,Full text crosswalk to JUR-001/BYL-001 still required,REL-CON-001 §31.1 and Art. XXXII
Foundational principles and formal doctrine,ecclesiastical,REL-CON-001 > ECC-CON-001 > Foundational Principles / Formal Doctrine,Competent doctrinal authority under ECC-CON-001/DOC-001,CMA concurrence where constitutionally required; CCG validity review,CH-007; CH-008; DOC-001; teaching classifications,Doctrine cannot amend superior constitutional rights by ordinary adoption,UNRESOLVED,REL-CON-001 expressly leaves exact relation between Formal Doctrine and constitutional provisions for further definition,REL-CON-001 Art. XXXII–XXXIII
Teaching that is not binding doctrine,ecclesiastical,REL-CON-001 + DOC-001 + adopted teaching-status rules,Authorized teachers/EC/other bodies within scope,Review/correction process as defined,Teaching archives; curriculum; liturgical teaching,"Repetition, popularity, founder authorship or publication cannot silently convert teaching into binding doctrine",CONTROLLED,Need DOC-001 content review later,PR-TERM-001; release_v1_0 decision register
Scripture/canon/source priority,religious epistemic,REL-CON-001 + any future explicit canon/authority instrument,Competent future authority only if constitutionally established,Entrenched review/adoption process if created,Library of Witnesses; HTERP research architecture,"Repository placement, HTERP inclusion or liturgical use does not create canon",UNRESOLVED,No Way canon is currently declared; HTERP proto-canon remains research architecture,AUTHORITY_TERMINOLOGY.md; release_v1_0 decision register
Religious membership status,ecclesiastical,REL-CON-001 > ECC-CON-001 > MEM-001,Membership authority designated under MEM-001 / EC system,CMA participation rights arise only as defined,CH-013–015; membership procedures,Membership status cannot create corporate ownership or civil authority by implication,RECONCILING,Companion ↔ Covenant Member relationship needs explicit final crosswalk,MEM-001 Arts. I–IV; PR-TERM-001
