case,cultivated,agentive,vision,voice,presence,journey,possession_identity_shift,unity_self_boundary,noetic_certainty,ethical_transformation,propositional_message
Early Christian prophecy,mixed,yes,mixed,yes,mixed,low,low,low,medium,high,high
Revelation John,unclear,yes,high,high,high,high,low,medium,high,medium,high
Hekhalot,high,yes,high,medium,high,high,low,medium,high,medium,medium
Early Sufism,high,yes,medium,medium,high,low,low,high,high,high,low-medium
Possession,mixed,yes,medium,high,high,low,high,variable,high,variable,medium-high
Siberian shamanic,high,yes,high,medium,high,high,medium,medium,high,variable,medium
Lakota vision seeking,high,yes/variable,high,medium,high,medium,low,medium,high,high,medium
Teresa of Avila,high,yes,high,medium,high,low,low,high,high,high,medium
Classical Yoga,high,not required,variable,low,low,low,low,high,high,high,low
Buddhist meditation,high,not required,variable,low,low,low,low,high,high,high,low
