ID,Domain,Source lineage,v1.0 location
C-01,Nature/purpose,v0.5-v0.7,Constitution Articles I-III
C-02,Conscience/exit/anti-coercion,Integrity v0.2-v0.4,"Constitution Articles II, IV, XVII"
C-03,Companion pathway,v0.6,Constitution Article V; Companion Handbook
C-04,Assembly/Houses,v0.6,Constitution Articles VI-VII
C-05,Ministry/commissioning,v0.6-v0.9,Constitution Article VIII; Teaching Baseline
C-06,Epistemic method,"v0.5, v0.7-v0.8",Constitution Articles IX-X
C-07,Practice/formation,v0.7,Constitution Article XI; Teaching Baseline; Handbook
C-08,Foundational theology,v0.8,Teaching Baseline Section 3
C-09,Ethics/eschatology,v0.9,"Constitution Articles XII-XIV; Teaching Baseline Sections 4, 7, 9"
C-10,Founder/succession,v0.2-v0.6,Constitution Article XVI
