Week,Session,Core Content,Practice,Integrity Test
1,Orientation I: What the Way Is,"Status, rights, vocabulary, pilot purpose",Attention + questions,Can participants explain that this is voluntary and pre-incorporation?
2,Orientation II: How We Know,"Encounter, testimony, interpretation, teaching, doctrine; confidence labels",Source/claim sorting exercise,Can participants distinguish evidence from interpretation?
3,Prayer I: Attention and Honest Address,Prayer grammar; silence; gratitude; lament; petition; listening,10-minute prayer experiment,Can participants decline forms without awkwardness or pressure?
4,Study I: Reading Witnesses Responsibly,"Primary sources, context, translation, competing interpretations",Compare two source accounts,Did facilitator distinguish source from conclusion?
5,Fellowship: The Common Table,"Hospitality, companionship, equality, voluntary belonging",Shared meal / fellowship,Were status differences or insider privilege visible?
6,Service: Good Without Conversion,"Service, charitable integrity, non-conditional aid",One practical service action,"Was any aid tied to attendance, belief, or loyalty?"
7,Discernment I: Disagreement Without Defeat,"How to frame a question, disclose conflicts, hear minority views",Structured discernment case,Was dissent preserved rather than overcome?
8,"Ethics, Power, and Boundaries","Consent, spiritual authority limits, money, family, outside advice",Boundary case studies,Could participants identify inappropriate spiritual control?
9,Open Theology: What We Do Not Yet Know,"God, Jesus, Muhammad, Buddha, afterlife, scripture, marriage, ordination",Open-question map,Did anyone feel pressure to adopt a provisional answer?
10,Companion Pathway,"Companion identity, commitment, Rule of Life, free exit",Optional personal Rule of Life draft,Was there a clear no-decision / no-joining option?
11,Founder-Exit Exercise,Non-founder facilitation; written systems; authority handoff test,Founder absent from facilitation,Could the gathering function without founder interpretation?
12,"Repair, Complaints, and Leaving Well","Complaint routes, correction, retaliation, departure, re-entry",Complaint/exit tabletop,Can participants identify an independent concern route?
13,Day-90 Review and Closure Decision,Review evidence; publish lessons; continue/revise/pause/close,Formal review circle,Did evidence rather than loyalty drive the decision?
