id,module,core_content,practice_or_evidence
CF-01,"Reality, truth, humility",Why reality precedes institution; confidence levels; intellectual honesty.,Attention practice + question journal.
CF-02,Encounter and testimony,Religious experience; memory; testimony; evidence; interpretation.,Analyze one historical testimony.
CF-03,Sacred sources,Library of Witnesses; provenance; translation; textual history.,Build a source record.
CF-04,Prayer,Seven movements of prayer; silence; fixed/free prayer; conscience.,Morning/evening practice experiment.
CF-05,Ethics and power,"Dignity, truth, non-coercion, justice/mercy, repair, conflicts.",Case study.
CF-06,Jesus and the early Jesus movement,Historical questions and major theological claims without forced conclusion.,Source comparison.
CF-07,Muhammad and early Islam,"Qur'anic claim, prophetic identity, community formation, interpretive tradition.",Primary/secondary source comparison.
CF-08,Buddha and paths of awakening,"Suffering, ethics, meditation, non-self/impermanence claims, communities of practice.",Practice/claim distinction exercise.
CF-09,"Israel, covenant, prophecy, wisdom","Hebrew Bible/Israelite-Jewish inheritance; covenant, law, prophets, wisdom, prayer.",Timeline + theme map.
CF-10,Assembly and companionship,"Mutual care, discernment, disagreement, belonging, exit, service.",Participate in service or Common Table.
CF-11,Open theology,"God, salvation/liberation, death, scripture, evil, family/sexual ethics, violence.",Choose one question and produce a balanced inquiry memo.
CF-12,Rule of Life and Companion Commitment,Design a sustainable personal rhythm; understand voluntary commitment.,Draft personal Rule of Life; commitment remains optional.
