source_top_level_entry,destination,rationale
.archive,99_UNCLASSIFIED/.archive,Unrecognized top-level directory preserved intact
00_README.md,00_START_HERE/original_root_metadata/00_README.md,Original top-level control/readme/manifest metadata
41_CHANGELOG.md,00_START_HERE/original_root_metadata/41_CHANGELOG.md,Original top-level control/readme/manifest metadata
AFF-001-Affiliation-and-Disaffiliation-Code.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/AFF-001-Affiliation-and-Disaffiliation-Code.docx,Flattened institutional/operational export also represented in organized subsystems
binders,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/binders,Historical or pre-integration package preserved intact to retain provenance
Church,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Church,Historical or pre-integration package preserved intact to retain provenance
Church-Operations-Registers.xlsx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/Church-Operations-Registers.xlsx,Flattened institutional/operational export also represented in organized subsystems
community-platform,06_DIGITAL_PLATFORM/community-platform,Executable digital/web application
companion_formation_curriculum_v0_7.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/companion_formation_curriculum_v0_7.docx,Flattened theology/practice/community export retained with provenance
companion_formation_curriculum_v0_7.pdf,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_foundational_exports/companion_formation_curriculum_v0_7.pdf,Flattened theology/practice/community export retained with provenance
Congregation,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Congregation,Historical or pre-integration package preserved intact to retain provenance
Congregational-Operations-Registers.xlsx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/Congregational-Operations-Registers.xlsx,Flattened institutional/operational export also represented in organized subsystems
DISC-PROC-001-Disciplinary-Procedure-Manual-and-Forms.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/DISC-PROC-001-Disciplinary-Procedure-Manual-and-Forms.docx,Flattened institutional/operational export also represented in organized subsystems
DOC-001-Doctrine-and-Authoritative-Teaching-Code.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/DOC-001-Doctrine-and-Authoritative-Teaching-Code.docx,Flattened institutional/operational export also represented in organized subsystems
DOC-OPS-001-Doctrine-Docket-and-Teaching-Classification-Procedures.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/DOC-OPS-001-Doctrine-Docket-and-Teaching-Classification-Procedures.docx,Flattened institutional/operational export also represented in organized subsystems
FILE_INVENTORY.md,00_START_HERE/original_root_metadata/FILE_INVENTORY.md,Original top-level control/readme/manifest metadata
FIN-POL-001-Financial-Policies-and-Procedures-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/FIN-POL-001-Financial-Policies-and-Procedures-Manual.docx,Flattened institutional/operational export also represented in organized subsystems
forms,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/forms,Historical or pre-integration package preserved intact to retain provenance
FOUND-TRANS-001-Founding-Transition-Schedule.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/FOUND-TRANS-001-Founding-Transition-Schedule.docx,Flattened institutional/operational export also represented in organized subsystems
