category,term,status,definition,preferred_usage,caution
Core identity,The Way,ADOPT,The religious path or way of life itself; the tradition as something practiced rather than merely subscribed to.,walk the Way; learn the Way; teachings of the Way,"Use as sacred/native vocabulary, not necessarily as the standalone legal or trademark brand because existing organizations use the phrase."
Core identity,Companion,ADOPT,A person who freely undertakes to walk the Way with others. The term is intentionally lateral rather than follower-centered.,a Companion; Companion of the Way; become a Companion,Religious identity only. It does not by itself create statutory corporate membership or voting rights.
Core identity,Companions,ADOPT,The people collectively who identify as Companions.,the Companions; Companions of the Way,Do not use to imply a spiritual caste or automatic authority.
Core identity,The Assembly,ADOPT,The whole gathered religious community of Companions and welcome participants.,the Assembly gathers; life of the Assembly,Capital A refers to the religious community. It is distinct from the legal corporation and Board of Directors.
Core identity,House of Prayer,ADOPT,"A local expression of the Assembly: a congregation and, by extension, the place where it gathers for prayer, study, fellowship, and service.",a House of Prayer; the House of Prayer at [place],Need not own a building. A House of Prayer is not a separate legal entity unless explicitly organized as one.
Core identity,House of Prayer for All Peoples,ADOPT - CEREMONIAL,"The fuller theological expression behind the local term, drawing on Isaiah 56:7 and its inclusive vision.",mission statement; dedication language; ceremonial use,"Use carefully as a scriptural inheritance, not as a claim that the movement owns the phrase."
Core identity,Gathering,ADOPT,A particular meeting of the Assembly or a House of Prayer.,Gathering for Prayer; Gathering for Study; Gathering for Service,Preferred over using “service” for every meeting because service also means charitable action.
Core identity,walking the Way,ADOPT,Ordinary idiom for practicing the religion or participating in its way of life.,She walks the Way; we walk together,Should never imply that departure makes a person an enemy or traitor.
Knowledge & revelation,Encounter,ADOPT,"A reported or experienced event interpreted as contact with, disclosure from, or awareness of transcendent reality.",reported encounter; encounter record,Phenomenological term: it describes the claim/event without automatically validating its interpretation.
Knowledge & revelation,Testimony,ADOPT,"A person’s or community’s account of an encounter, conviction, event, or practice.",testimony of a Companion; historical testimony,"Testimony is evidence to consider, not an automatic command."
Knowledge & revelation,Witness,ADOPT,"A person, text, artifact, practice, or other source that bears evidence concerning an encounter, event, belief, or tradition.",historical witness; textual witness,Do not confuse “witness” with proof of every theological interpretation attached to it.
