claim_id,domain,claim,claim_class,confidence,status_note,review_trigger
RC-001,TQ-001,Religious traditions make materially different ultimate-reality claims.,Mixed - see dossier,Established,This diversity must not be erased by saying all traditions teach the same thing.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-002,TQ-001,"Monotheistic unity is central to Jewish, Islamic, and Sikh witnesses, though their further descriptions differ.",Mixed - see dossier,Established,"Descriptive claim about source traditions, not an Assembly metaphysical verdict.",New primary evidence; stronger alternative explanation; major scholarly revision
RC-003,TQ-001,Religious experience and testimony deserve study but do not uniquely determine one metaphysical interpretation.,Mixed - see dossier,Well-Supported,The same kind of human experience can be interpreted differently across traditions.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-004,TQ-001,"Whether ultimate reality is personal, transpersonal, nondual, plural, or adequately described by naturalism remains unsettled for the Way.",Mixed - see dossier,Open Question,No evidentiary shortcut is justified.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-005,TQ-001,"The problem of suffering and evil is a major test for any model of an all-powerful, all-knowing, perfectly good personal God.",Mixed - see dossier,Established,The force of the problem varies with the model of God being evaluated.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-006,TQ-002,Sincerity and intensity do not establish divine origin.,Mixed - see dossier,Established,They may establish that the person sincerely reports an experience.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-007,TQ-002,A report of revelation and the interpretation of that report are distinct evidentiary objects.,Mixed - see dossier,Established,This is foundational to the Way's epistemic grammar.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-008,TQ-002,Private revelation can rationally matter to the experiencer more than to outsiders.,Mixed - see dossier,Well-Supported,Public institutional claims require additional reasons accessible to those affected.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-009,TQ-002,History can study revelation claims and their effects but cannot by historical method alone prove a transcendent source.,Mixed - see dossier,Established,Metaphysical/theological inference requires additional argument.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-010,TQ-002,No contemporary revelation claim should automatically amend doctrine or governance.,Mixed - see dossier,Established - Institutional,Rights and lawful amendment processes remain controlling.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-011,TQ-003,Jesus was a first-century Jewish figure associated with Galilee/Judaea who attracted followers.,Mixed - see dossier,Established,Mainstream historical conclusion.,New primary evidence; stronger alternative explanation; major scholarly revision
RC-012,TQ-003,Jesus was crucified under Pontius Pilate.,Mixed - see dossier,Established,Oxford scholarship describes this as nearly universally accepted / among the strongest historical points.,New primary evidence; stronger alternative explanation; major scholarly revision
