release,path,source_path,status,git_blob_sha,curation_interpretation
v1.0,adoption_and_review_protocol_v1_0.md,01_FOUNDATIONAL_SOURCE/source/adoption_and_review_protocol_v1_0.md,exact-match,23e3524bd1977d9fe059155fb2d6dd719e202f79,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,companion_handbook_v1_0.md,01_FOUNDATIONAL_SOURCE/source/companion_handbook_v1_0.md,exact-match,1d296262354322994b2df4a2dae8bf69fb6bc1fa,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,constitution_of_the_way_v1_0.md,01_FOUNDATIONAL_SOURCE/source/constitution_of_the_way_v1_0.md,exact-match,0650c397ba089c4da63784e9698a22472533e763,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,constitutional_crosswalk_v1_0.csv,01_FOUNDATIONAL_SOURCE/source/constitutional_crosswalk_v1_0.csv,exact-match,7b6794e93b6778c82444639d23d203aa52aa4299,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,decision_register_v1_0.md,01_FOUNDATIONAL_SOURCE/source/decision_register_v1_0.md,exact-match,082deb701051c04ccabe9339c65bb943b7457c74,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,teaching_and_practice_baseline_v1_0.md,01_FOUNDATIONAL_SOURCE/source/teaching_and_practice_baseline_v1_0.md,exact-match,604643d7f75c23ca84d5ffe17c09fe6cbde8c70f,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,teaching_status_register_v1_0.csv,01_FOUNDATIONAL_SOURCE/source/teaching_status_register_v1_0.csv,exact-match,825f485485fa127f84cedd838b8e4bf6aa0a8d50,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.0,way_foundational_synthesis_v1_0.json,01_FOUNDATIONAL_SOURCE/source/way_foundational_synthesis_v1_0.json,exact-match,1140e00d59d7a17a3b9590042b71e873085b5b05,"Editable/source copy mirrored exactly into immutable v1.0 release source."
v1.2,director_candidate_tracker_v1_2.csv,01_FOUNDATIONAL_SOURCE/source/director_candidate_tracker_v1_2.csv,exact-match,fc465afa6b1136c84896d468c8297f61026851fc,"Source/working copy mirrored exactly into v1.2 execution release."
v1.2,execution_sequence_v1_2.md,01_FOUNDATIONAL_SOURCE/source/execution_sequence_v1_2.md,exact-match,4194ca26cbaaed9b5188308d77dfc377d4d316e4,"Source/working copy mirrored exactly into v1.2 execution release."
v1.2,filing_readiness_register_v1_2.csv,01_FOUNDATIONAL_SOURCE/source/filing_readiness_register_v1_2.csv,exact-match,8c35aa7b53de0a9419f78dbca49a3490909a39a2,"Source/working copy mirrored exactly into v1.2 execution release."
v1.2,name_clearance_record_v1_2.md,01_FOUNDATIONAL_SOURCE/source/name_clearance_record_v1_2.md,exact-match,e83b1056b47fe601771cb053a435a4eb24d165fc,"Source/working copy mirrored exactly into v1.2 execution release."
v1.2,organizational_instantiation_v1_2.json,01_FOUNDATIONAL_SOURCE/source/organizational_instantiation_v1_2.json,exact-match,2661b1dbd338e6b5f32af7e4d6bff4309988813a,"Source/working copy mirrored exactly into v1.2 execution release."
v1.2,ein_banking_federal_exemption_and_compliance_execution_packet_v1_2.docx,,release-only,b60fc38ce58b155686ec2aa6b9cfbfead72a55bf,"Compiled release publication; no same-path editable file in foundational source tree."
v1.2,ein_banking_federal_exemption_and_compliance_execution_packet_v1_2.pdf,,release-only,d22fb477e9c382e3278d642fab4b0b69bfd00526,"Compiled release publication; no same-path editable file in foundational source tree."
v1.2,filing_ready_incorporation_and_board_execution_packet_v1_2.docx,,release-only,26edd972e158161fea97a7637b1dcec311ec6f52,"Compiled release publication; no same-path editable file in foundational source tree."
v1.2,filing_ready_incorporation_and_board_execution_packet_v1_2.pdf,,release-only,fbe90f799d105d65318b3c0523c28dc590591183,"Compiled release publication; no same-path editable file in foundational source tree."
v1.2,founding_director_recruitment_and_acceptance_kit_v1_2.docx,,release-only,867c169639402c6244a5c93fdc93263cf2b2bae3,"Compiled release publication; no same-path editable file in foundational source tree."
v1.2,founding_director_recruitment_and_acceptance_kit_v1_2.pdf,,release-only,dd6922454c5a57c55467d02a9837c3bfeca85a7e,"Compiled release publication; no same-path editable file in foundational source tree."
