domain,term,status,definition,preferred_usage,avoid_or_caution,crosswalk,decision_required
Core identity,The Way,CANONICAL_DRAFTING,"The religious path, tradition, and way of life itself; it is not identical with any corporation, leader, building, document, or generation.",walk the Way; teachings of the Way; the Way teaches/practices,Do not use as though it were the legal corporation or proprietary possession.,Replaces broader predecessor identity names as the native name of the religious path.,No
Core identity,Companion,CANONICAL_DRAFTING,A person who freely identifies with and undertakes to walk the Way with others while retaining conscience and freedom of departure.,a Companion; Companion of the Way; become a Companion,"Does not by itself create Covenant Membership, statutory corporate membership, office, voting rights, or spiritual rank.",Native personal identity; broader than formal Covenant Membership.,No
Core identity,Companions,CANONICAL_DRAFTING,Companions collectively.,the Companions; Companions of the Way,Do not imply a spiritual caste or governing body.,Plural of Companion.,No
Core identity,The Assembly,CANONICAL_DRAFTING,The religious community formed by Companions and welcome participants gathered around the Way; broader than the legal corporation and distinct from the Board.,the Assembly gathers; life of the Assembly; the Assembly teaches,"Never use as a synonym for the nonprofit corporation, Board, or Covenant Member Assembly.",Current native community term; supersedes generic predecessor movement/community names for ordinary religious-community prose.,No
Core identity,The Assembly of the Way,WORKING_PUBLIC_NAME,Compound public-facing working name joining the community and tradition; used in current pilot materials.,The Assembly of the Way; a gathering of the Assembly of the Way,Do not append Inc. unless referring to a verified legal entity; do not treat working-name usage as incorporation or trademark status.,Public-facing expansion of The Assembly + The Way.,Yes — final public/organizational naming decision
Core identity,House of Prayer,CANONICAL_DRAFTING,"A stable local expression of the Assembly: the local religious community/congregation and, secondarily, the place where it gathers.",a House of Prayer; House of Prayer at [place],"A House of Prayer need not own a building and is not a separate legal entity unless expressly organized as one. When referring to real estate, say House of Prayer site/facility where needed.",Preferred native term for a stable local community; maps externally to congregation when required.,No
Core identity,Houses of Prayer,CANONICAL_DRAFTING,Multiple local expressions of the Assembly.,the Houses of Prayer; network of Houses of Prayer,Do not imply a federation or jurisdictional hierarchy until one is actually constituted.,Plural of House of Prayer.,No
Core identity,Gathering,CANONICAL_DRAFTING,"A particular meeting for prayer, study, fellowship, service, discernment, formation, or another recognized purpose.",Gathering for Prayer; weekly Gathering; Founding Gathering Circle,"A gathering is not automatically a House of Prayer, congregation, membership meeting, or corporate meeting.",Native meeting term.,No
Core identity,Founding Gathering Circle,TECHNICAL_CURRENT,"The current pre-incorporation adult pilot/gathering framework used to test formation, operations, safeguarding, and reproducibility.",Founding Gathering Circle pilot,"Must not be described as an incorporated entity, recognized House of Prayer, statutory membership body, or tax-exempt organization unless those facts later become true.",Current pilot term in releases v1.4–v1.6.,No
Core identity,House of Prayer for All Peoples,CEREMONIAL,A fuller scriptural/theological expression associated with the inclusive vision behind House of Prayer.,dedication language; mission language,"Use as inherited scriptural language, not as an exclusive proprietary brand.",Ceremonial expansion of House of Prayer.,No
Legal/external,[[CORP_NAME]],CONTROL_PLACEHOLDER,Required placeholder for the legal corporation name until a name is verified and the corporation is actually formed/authorized.,use exactly [[CORP_NAME]] in legal drafts until resolved,Do not silently replace with a preferred public name in filing/adoption documents.,ORG.LEGAL_NAME control in org_constants.yaml.,Yes — verified legal name
Legal/external,"The Assembly of the Way, Inc.",RESERVED_CANDIDATE,"Candidate form of the legal nonprofit corporate name if ultimately verified, selected, and formed under that name.",Only after verified legal formation; before then describe as candidate,Do not present as the existing legal entity while ORG.LEGAL_NAME remains unresolved.,Candidate legal form derived from working public name.,Yes — Tennessee name/legal formation verification and final selection
Legal/external,Corporation,TECHNICAL_CANONICAL,"The nonprofit corporation that may legally support the religious community and hold civil rights, duties, property, contracts, and fiduciary obligations.",the Corporation; [[CORP_NAME]],Do not equate with the Way or the Assembly.,Civil legal entity; distinct from religious community.,No
Legal/external,religious organization,EXTERNAL_GENERIC,Generic legal/public descriptor for an organization organized for religious purposes.,religious organization when communicating externally,Not the preferred native proper name of the religious community.,External category.,No
Legal/external,church,EXTERNAL_REGULATORY,"External legal, tax, historical, or comparative term; may describe a claimed IRS classification or another tradition's institution.",IRS church classification; church characteristics; Christian church,Do not use as the default native name of the Assembly unless a specific document requires the category; never imply IRS recognition before established.,Maps to tax/regulatory CH-049–054 context.,No
Legal/external,congregation,EXTERNAL_DESCRIPTIVE,External/legal or ordinary descriptive term for people who regularly gather as a local religious community.,"congregation when required by IRS, insurer, venue, or comparative prose","Do not treat congregation, House of Prayer, Companion, or Covenant Member as automatically identical categories.",External analogue to a stable local House of Prayer; factual meaning depends on actual practice.,No
Legal/external,statutory corporate member,TECHNICAL_LEGAL,"A member of the nonprofit corporation under applicable corporate law, if the corporation is structured to have such members.",statutory corporate member; corporation has/has no statutory members,Never abbreviate simply to member where confusion with Covenant Membership is possible.,Current draft design says Covenant Membership is distinct; actual corporate structure must be verified in filed charter/bylaws.,No
Legal/external,Board of Directors,TECHNICAL_LEGAL,The civil governing board of the nonprofit corporation with powers and fiduciary duties assigned by law and civil governing instruments.,Board of Directors; the Board,"Not the Assembly, Ecclesiastical Council, clergy, or membership body.",BYL-001 civil body.,No
Legal/external,Board,TECHNICAL_LEGAL,Permitted shorthand for Board of Directors once defined.,the Board,Do not use for a religious council.,Short form of Board of Directors.,No
Membership,Participant,CANONICAL_DRAFTING,"A person who takes part in a gathering, program, practice, or community activity without necessarily claiming Companion or Covenant Member status.",participant; welcome participant,"Participation alone does not create membership, office, assent, or governance rights.",Broadest ordinary belonging category.,No
Membership,Companion,CANONICAL_DRAFTING,Religious identity for a person walking the Way with others.,Companion of the Way,Do not collapse into Covenant Member or statutory corporate member.,Identity layer before/formally outside membership status.,No
Membership,Covenant Member,TECHNICAL_CANONICAL,A person admitted into the Assembly's formal ecclesiastical Covenant Membership under MEM-001 and related instruments.,Covenant Member; Covenant Membership,Never shorten to member in documents where corporate membership could be confused. Covenant Membership does not itself create ownership or statutory corporate membership.,"Formal ecclesiastical membership status. Drafting rule: ordinarily a formal subset of Companions, while not every Companion must be a Covenant Member.",Yes — confirm exact Companion/Covenant-Member eligibility relationship in MEM-001 reconciliation
Membership,Covenant Membership,TECHNICAL_CANONICAL,The formal ecclesiastical membership system governed by MEM-001 and its Covenant/procedures.,enter Covenant Membership; Covenant Membership status,"Do not describe it as corporate ownership, irrevocable vow, or automatic office eligibility beyond rules actually adopted.",Formal membership layer distinct from Companion identity and statutory corporate membership.,No
Membership,Covenant Member Assembly,TECHNICAL_CANONICAL,The formal participatory ecclesiastical governance body composed of eligible Covenant Members under the constitutional system.,Covenant Member Assembly; CMA,Never use The Assembly as shorthand for CMA; The Assembly is the broader religious community.,CMA-001 formal governance body within the Assembly.,No
Membership,CMA,CONTROLLED_ABBREVIATION,Abbreviation for Covenant Member Assembly after the full name is defined in a document.,CMA,Do not use before definition in public-facing documents.,Abbreviation only.,No
Membership,member,AVOID_UNQUALIFIED,"Ambiguous term that can refer to religious membership, statutory corporate membership, or ordinary affiliation.","Use Covenant Member, statutory corporate member, participant, Companion, or another precise term instead.",Avoid standing alone in governing/legal documents.,Disambiguation rule.,No
Membership,Companion Commitment,CANDIDATE,Possible voluntary public statement by which an adult identifies as a Companion.,make the Companion Commitment,Not an irrevocable vow; not required unless later adopted; does not itself create statutory membership.,Historical/current candidate in foundational source work.,Yes — final form and relationship to Covenant Membership
Governance,Religious Body,PHASE_OUT_TECHNICAL,Generic technical term used throughout some current constitutional drafts for the religious community associated with the corporation.,Use only where already defined pending reconciliation,Prefer The Assembly or religious community in final prose unless a technical distinction requires Religious Body. Do not leave it undefined.,Legacy/current drafting synonym that must be crosswalked to The Assembly.,Yes — PR-AUTH/constitutional reconciliation
