Week,Title,Type
1,Orientation I: What the Way Is,Orientation
2,Orientation II: How We Know,Orientation
3,Prayer I: Attention and Honest Address,Prayer
4,Study I: Reading Witnesses Responsibly,Study
5,Fellowship: The Common Table,Fellowship
6,Service: Good Without Conversion,Service
7,Discernment I: Disagreement Without Defeat,Discernment
8,Ethics Power and Boundaries,Ethics
9,Open Theology: What We Do Not Yet Know,Theology
10,Companion Pathway,Companionship
11,Founder-Exit Exercise,Governance
12,Repair Complaints and Leaving Well,Integrity
13,Day-90 Review and Closure Decision,Review
