week,title,type,purpose,dissent_prompt,between_session_practice,custom_feedback
1,Orientation I: What the Way Is,Orientation,"Give participants a complete map of the Way without asking them to join, agree, donate, or disclose private beliefs.","What is one feature of this project you currently distrust, dislike, or think could fail?","During the week, notice one moment when you encounter a question of meaning, truth, suffering, beauty, duty, or transcendence. Write what happened before deciding what it “means.”","After Week 1, I can explain at least two differences between the Assembly and the future corporation."
2,Orientation II: How We Know,Orientation / Epistemic Method,"Teach the Way’s core discipline for distinguishing experience, report, interpretation, institutional teaching, and confidence.",Where could this evidence-and-confidence system itself become a source of false certainty or bias?,Choose one strong belief you hold—religious or nonreligious. Write: What is the claim? What kind of claim is it? What supports it? What would make you revise it?,I can distinguish a testimony from the interpretation attached to it.
3,Prayer I: Attention and Honest Address,Prayer,"Pilot prayer that permits belief, doubt, silence, lament, gratitude, petition, and nonparticipation without emotional pressure.",What forms of prayer or language about God would make participation difficult for you?,"Try 5-10 minutes on three days: stillness, gratitude/lament, and dedication. Record only what you observed—not what you think you “should” have experienced.","I felt free to participate, observe, modify, or decline the prayer practices."
4,Study I: Reading Witnesses Responsibly,Study / Source Method,"Practice reading sacred and historical witnesses without confusing reverence, source proximity, genre, and truth claims.","When does critical study feel illuminating, and when does it feel reductive or unfair?","Choose one religious story you know. Identify its source, genre, approximate date/setting if known, and one question the source can answer versus one it cannot answer by itself.",I can explain the difference between a text being spiritually important and a text being early historical evidence.
5,Fellowship: The Common Table,Fellowship,"Test whether shared food and conversation can embody companionship, equality, hospitality, and ordinary friendship without insider hierarchy.","What could make a shared religious meal feel manipulative, exclusionary, or status-conscious?",Offer one act of hospitality this week that creates no debt and no expectation of religious agreement.,The fellowship period felt status-neutral rather than leader-centered or insider-centered.
6,Service: Good Without Conversion,Service,Make outward service a constitutive practice while preventing aid from becoming a recruitment or loyalty tool.,What harms can occur when religious communities combine service with recruitment or publicity?,Complete one modest service act or planning step. Record what the recipient/community actually needed versus what you initially assumed.,I understood that aid or service from this community is not conditioned on religious participation.
7,Discernment I: Disagreement Without Defeat,Discernment,"Practice a decision process that can hear disagreement, preserve minority concerns, and reach a bounded decision without treating dissent as disloyalty.","If you disagreed with the outcome, were your reasons represented accurately and without penalty?","Notice one decision this week where you can separate: facts, values, preferences, risks, and uncertainty.",I could disagree with the proposed decision without feeling I was opposing the community itself.
8,"Ethics, Power, and Boundaries",Ethics / Institutional Integrity,"Teach the difference between spiritual care and coercive control through concrete scenarios involving money, sex, confidentiality, housing, health, and authority.","Which power relationship worries you most in religious organizations, and what control would you require?",Write three sentences you could use to maintain a boundary with a respected spiritual leader.,"I can identify when a “spiritual” issue should instead trigger ordinary safeguarding, legal, medical, or financial processes."
9,Open Theology: What We Do Not Yet Know,Theology / Inquiry,Normalize disciplined uncertainty and allow participants to engage major theological questions without being pushed toward a founder-preferred answer.,Which major theological question do you think the Assembly should resolve sooner—and which should it resist resolving?,"Write one paragraph using all four stems: what you think, what you hope, what you do not know, and what evidence would matter.",The facilitator distinguished uncertainty from indifference and did not pressure a theological conclusion.
10,Companion Pathway,Companionship,"Let participants examine Companion identity carefully without an altar-call dynamic, countdown, social pressure, or hidden legal consequences.",What would make “Companion” identity feel like social pressure or an insider/outsider caste?,"Do nothing for at least 48 hours except reflect. If you are considering Companion identity, write both your reasons for and reasons against it.","I felt equally free to become a Companion, wait, remain a participant, or leave."
11,Founder-Exit Exercise,Governance / Reproducibility,Test whether a gathering can function from written systems when the founder is absent and whether participants know what to do when founder preferences are unavailable.,What part of the community still feels too dependent on the founder?,None required. Facilitator and founder convert findings into concrete remediation tasks.,"The gathering functioned without needing the founder’s permission, interpretation, or presence."
12,"Repair, Complaints, and Leaving Well",Integrity / Exit,"Rehearse the systems that matter most when something goes wrong: complaint, independent review, non-retaliation, correction, departure, and repair.",What would make you distrust the complaint or exit system in practice?,Keep the concern-route card somewhere accessible. No personal disclosure assignment.,I know how to raise a concern outside the founder/facilitator chain if necessary.
13,Day-90 Review and Closure Decision,Review / Decision,"Decide from evidence—not momentum—whether the pilot should continue, revise and repeat, pause, close, or later seek House-in-Formation status after incorporation.",What is the strongest argument *against* continuing the pilot in its current form?,No homework. Participants receive the final pilot summary and may disengage without follow-up pressure.,The Day-90 decision reflected evidence and dissent rather than momentum or founder preference.
