filename,category,package_type,sha,size_bytes,previous_path,current_path,lifecycle_note
"Church-Congregational-Operations-Layer-Pack.zip","institutional-and-church","layer-pack","29864bc28cb440a62334a0d19327470bcb86ea08","499070","99_UNCLASSIFIED/.archive/Church-Congregational-Operations-Layer-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-Congregational-Operations-Layer-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Church-Establishment-Day-One-Pack.zip","institutional-and-church","archive-package","5fede1d8fcfc68911e79d9cd92267099db5e9725","206242","99_UNCLASSIFIED/.archive/Church-Establishment-Day-One-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-Establishment-Day-One-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Church-IRS-Determination-Package-Draft.zip","institutional-and-church","draft-package","a3856f3d003b7c91783d22f804edf134f43c3c51","353120","99_UNCLASSIFIED/.archive/Church-IRS-Determination-Package-Draft.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-IRS-Determination-Package-Draft.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Church-Ministry-and-Education-Layer-Pack.zip","institutional-and-church","layer-pack","acc27ceca53aa7008e10321b10d9a7cc8d4f6905","475921","99_UNCLASSIFIED/.archive/Church-Ministry-and-Education-Layer-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-Ministry-and-Education-Layer-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Church-Organizational-Compliance-Layer-Pack.zip","institutional-and-church","layer-pack","c575000a9e7dd7c86e52046e157427bcc6cd7805","671756","99_UNCLASSIFIED/.archive/Church-Organizational-Compliance-Layer-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-Organizational-Compliance-Layer-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Church-Religious-Identity-Layer-Pack.zip","institutional-and-church","layer-pack","108011aeaa49ddd64a5ec06228e7190f03fdba4f","278840","99_UNCLASSIFIED/.archive/Church-Religious-Identity-Layer-Pack.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Church-Religious-Identity-Layer-Pack.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"HTERP_v0.2_WP-001_calibration_complete.zip","research-hterp","work-packet-package","90fb6a14e611d4d486a4e514f0c00e3f2851f44f","57965","99_UNCLASSIFIED/.archive/HTERP_v0.2_WP-001_calibration_complete.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/research-hterp/HTERP_v0.2_WP-001_calibration_complete.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"HTERP_v1.4_WP-013_external_evidence_boundary.zip","research-hterp","work-packet-package","82da46fbac9f064074a32fd788eedd7afaa70fa3","262916","99_UNCLASSIFIED/.archive/HTERP_v1.4_WP-013_external_evidence_boundary.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/research-hterp/HTERP_v1.4_WP-013_external_evidence_boundary.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"HTERP_workmode_baseline_v0.1.zip","research-hterp","baseline-package","b319bf949af9eb270a04fa52395939298e57d447","24570","99_UNCLASSIFIED/.archive/HTERP_workmode_baseline_v0.1.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/research-hterp/HTERP_workmode_baseline_v0.1.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
"Institutional-Repository-Prepopulated.zip","institutional-and-church","prepopulated-repository-package","e22c9371905d07f40180d550b6b110ae28aeca27","5852568","99_UNCLASSIFIED/.archive/Institutional-Repository-Prepopulated.zip","80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/archive-packages/institutional-and-church/Institutional-Repository-Prepopulated.zip","Historical packaged snapshot preserved byte-for-byte; authority/status must be determined from the corresponding extracted/current/release materials, not from ZIP placement."
