id,domain,status,priority,why_it_matters
TQ-001,God / divine reality,OPEN,High,Foundational theology; divine names; personal/transpersonal categories.
TQ-002,Revelation / prophecy,OPEN,High,Needed for evaluating historical and contemporary revelation claims.
TQ-003,Jesus / Christology,OPEN,High,Major source-tradition question with worship implications.
TQ-004,Muhammad / Qur'anic revelation,OPEN,High,Major source-tradition question requiring historical/theological rigor.
TQ-005,Buddha / awakening / non-self,OPEN,High,Prevents flattening Buddhist testimony into Abrahamic assumptions.
TQ-006,Scripture and canon,OPEN,High,"Needed before calling anything ""our scripture."""
TQ-007,Human nature / soul / consciousness,OPEN,High,"Affects death, ethics, spiritual practice, anthropology."
TQ-008,Sin / ignorance / suffering / evil,OPEN,High,"Affects ethics, salvation/liberation, pastoral care."
TQ-009,Salvation / liberation / awakening,OPEN,High,Ultimate end currently unresolved.
TQ-010,Death / resurrection / afterlife / rebirth,OPEN,High,Funerals and pastoral teaching must remain honest.
TQ-011,Sexual ethics / marriage / family,OPEN,High,Must be addressed before formal marriage rites or detailed discipline.
TQ-012,Violence / nonviolence / just protection,OPEN,Medium-High,Needed for civic and personal ethics.
TQ-013,Sacraments / rites / sacred mediation,OPEN,Medium,Determines whether any rite is more than symbolic/practical.
TQ-014,Ordination / clergy ontology,OPEN,Medium,Commissioning works without deciding this yet.
TQ-015,Holy days / sacred calendar,OPEN,Medium,Should grow from actual theology and memory.
TQ-016,Interreligious identity,OPEN,High,"Clarify whether the Way is a new religion, reform movement, meta-tradition, fellowship, or another category."
